record_id,airline_code,airline_name,flight_number,origin_airport,destination_airport,departure_datetime,arrival_datetime,duration_min,status,delay_min,aircraft_type,cabin_class,seat,passenger_id,passenger_gender,passenger_age,passenger_nationality,booking_datetime,sales_channel,payment_method,ticket_price,currency,ticket_price_usd_est,bags_total,bags_checked
38,LA,Latam,LA0745,MAD,LIM,2024-12-18 08:34:00,2024-12-18 12:13:00,219.0,ON_TIME,0.0,A320,ECONOMY,40E,bb56a078-2a9b-4b7f-86b4-6935483c00c7,M,,GT,2024-11-28 02:46:00,AEROPUERTO,TARJETA,108.6,GTQ,13.9,1,0
39,UA,United,UA7539,HAV,GUA,2024-04-16 14:14:00,2024-04-16 17:17:00,175.0,ON_TIME,0.0,A321,ECONOMY,39D,8b66a84a-30c4-4da5-bd73-6f8fa4cb669a,M,35.0,HN,2024-01-16 06:42:00,AEROPUERTO,TRANSFERENCIA,73.36,USD,73.36,2,1
40,LA,Latam,LA8096,LIM,PTY,2024-11-07 00:55:00,2024-11-07 06:03:00,313.0,ON_TIME,0.0,B787,ECONOMY,26B,192b409e-3145-4426-ba04-48c1cfb006c7,F,35.0,SV,2024-01-09 04:48:00,AEROPUERTO,PUNTOS,40.62,USD,40.62,2,1
41,B6,Jetblue,B67369,PTY,LIM,2025-05-08 10:49:00,2025-08-05 19:53:00,364.0,DELAYED,170.0,B737,ECONOMY,30A,c923aad6-7e47-4ad1-adce-81aeac9b710d,M,31.0,ES,2025-01-26 02:12:00,WEB,TRANSFERENCIA,92.29,USD,92.29,1,0
42,DL,Delta,DL9875,SAL,MEX,2024-12-15 22:21:00,2024-12-16 00:09:00,97.0,DIVERTED,0.0,B787,ECONOMY,36B,58979d82-08c9-42ac-9006-78158682a4a5,M,53.0,PA,2024-10-19 05:48:00,AEROPUERTO,EFECTIVO,67.94,USD,67.94,2,1
43,IB,Iberia,IB8844,PTY,HAV,2025-06-26 12:36:00,2025-06-26 19:15:00,384.0,ON_TIME,0.0,A320,ECONOMY,18C,42d67ef8-b040-4db4-b516-9966fbf8f582,M,23.0,CO,2025-03-13 07:54:00,AEROPUERTO,TARJETA,68.33,GTQ,8.75,1,0
44,B6,Jetblue,B66257,MEX,MIA,2025-04-08 21:28:00,2025-09-04 01:24:00,237.0,ON_TIME,0.0,A319,PREMIUM_ECONOMY,15B,777a4bf6-c7af-4c95-81c5-f64ad8deb98a,M,45.0,PE,2025-02-19 23:42:00,APP,PAYPAL,123.36,USD,123.36,2,1
45,DL,Delta,DL1624,JFK,BOG,2024-10-02 12:42:00,2024-10-02 21:46:00,373.0,DELAYED,151.0,A319,BUSINESS,9E,bb56a403-7eb2-4bcb-a318-6873b27ed1ee,M,27.0,MX,2024-01-05 21:45:00,AEROPUERTO,EFECTIVO,214.46,MXN,12.44,0,0
46,CM,Copa Airlines,cm7033,SJO,LIM,2025-07-10 13:01:00,2025-10-07 15:17:00,116.0,ON_TIME,0.0,B787,ECONOMY,18A,32e59c09-72d7-44a4-a8cc-1012e4fccb77,M,35.0,UNKNOWN,2025-07-27 13:23:00,AEROPUERTO,PAYPAL,114.32,USD,114.32,1,0
47,AA,American Airlines,AA7841,BOG,BCN,2024-10-07 02:08:00,2024-10-07 03:50:00,79.0,ON_TIME,0.0,A321,PREMIUM_ECONOMY,15E,8e91f1a6-5b7d-4da6-94b6-de2f2440c0cf,M,24.0,PA,2024-09-30 05:44:00,AGENCIA,TRANSFERENCIA,98.05,GTQ,12.55,1,0
48,AV,Avianca,AV8508,LAX,MIA,2024-05-06 13:55:00,2024-06-05 16:34:00,67.0,DELAYED,90.0,B757,BUSINESS,8D,15692a30-13d7-4f79-8505-af92ee4f144a,M,28.0,GT,2024-02-28 17:43:00,AGENCIA,TRANSFERENCIA,107.36,MXN,6.23,0,0
49,DL,Delta,DL9955,BOG,HAV,2024-08-16 04:12:00,2024-08-16 07:37:00,209.0,ON_TIME,0.0,A319,ECONOMY,25D,c62c6b89-fd64-4eeb-b58d-aad1203a0cf0,F,37.0,MX,2024-05-18 13:50:00,CALL_CENTER,TARJETA,89.24,GTQ,11.42,2,1
50,AM,Aeromexico,AM8048,MIA,BOG,2024-10-24 08:55:00,2024-10-24 14:22:00,335.0,ON_TIME,0.0,A321,ECONOMY,27C,f55b5be0-13a3-4f6c-bf48-934437f5712e,F,34.0,CR,2024-05-10 16:32:00,CALL_CENTER,TRANSFERENCIA,75.03,GTQ,9.6,1,0
51,CM,Copa Airlines,CM7843,SAL,BOG,2025-09-21 13:03:00,2025-09-21 19:47:00,394.0,ON_TIME,0.0,B787,ECONOMY,33E,b88ec5f1-7a72-4041-86bf-7a8ea3d807bb,F,15.0,MX,2025-06-20 14:04:00,APP,TRANSFERENCIA,70.3,USD,70.3,0,0
52,FR,Ryanair,FR8741,SAL,LAX,2024-12-15 12:07:00,2024-12-15 17:13:00,283.0,ON_TIME,0.0,B787,PREMIUM_ECONOMY,15F,ecf482ed-6211-49fd-bd5b-7c75bb3f9d61,M,29.0,MX,2024-10-19 19:09:00,WEB,TARJETA,83.04,USD,83.04,1,0
53,FR,Ryanair,FR7934,PTY,LAX,2025-07-13 17:34:00,2025-07-14 02:13:00,354.0,DELAYED,154.0,A319,ECONOMY,43A,8f18b0f0-4a93-4562-9777-163d2dc7a93c,M,31.0,CU,2025-04-04 23:18:00,APP,PUNTOS,93.82,USD,93.82,1,0
54,BA,British Airways,BA1476,MIA,JFK,2024-05-11 16:36:00,2024-05-11 18:40:00,111.0,ON_TIME,0.0,B737,ECONOMY,23D,10c8fab7-fce2-4174-8837-62168bbc50d2,M,58.0,US,2024-10-17 13:33:00,AGENCIA,PAYPAL,86.58,MXN,5.02,1,0
55,AV,Avianca,AV5556,LAX,MEX,2025-01-19 09:29:00,2025-01-19 15:39:00,350.0,ON_TIME,0.0,A319,ECONOMY,19D,d4f3410f-242d-4b83-a253-e265faf01720,F,37.0,CO,2024-10-12 21:06:00,WEB,PAYPAL,79.36,USD,79.36,1,0
56,WN,Southwest,WN9564,GUA,PTY,2024-02-05 04:30:00,2024-05-02 05:32:00,64.0,ON_TIME,0.0,CRJ9,PREMIUM_ECONOMY,15D,163b1789-f8f3-4510-b83b-a91477205cbd,F,9.0,HN,2024-01-17 17:31:00,AEROPUERTO,TRANSFERENCIA,108.95,USD,108.95,3,2
57,IB,Iberia,IB5326,PTY,HAV,2025-08-31 02:23:00,2025-08-31 10:47:00,341.0,DELAYED,159.0,B757,ECONOMY,32F,00d57913-4cd1-44e9-a978-329dbce4c43e,F,34.0,PE,2025-08-11 05:08:00,WEB,PUNTOS,192.89,EUR,210.25,0,0
58,WN,Southwest,WN4713,MIA,CUN,2025-02-28 07:16:00,2025-02-28 11:08:00,226.0,ON_TIME,0.0,B767,ECONOMY,23C,6a7c8bd7-c0eb-48fd-82e5-e92bb4ca242f,M,31.0,ES,2024-11-20 21:31:00,APP,PAYPAL,90.52,USD,90.52,1,0
59,UA,United,UA7823,CUN,LIM,2025-10-05 02:08:00,,,CANCELLED,,B738,ECONOMY,,42dbc5df-5ed6-467a-9659-a84fb24d5c46,M,33.0,CR,2025-09-03 19:05:00,AEROPUERTO,EFECTIVO,54.11,GTQ,6.93,0,0
60,AA,American Airlines,AA8262,PTY,SAP,2025-03-21 22:37:00,2025-03-22 05:31:00,163.0,DELAYED,227.0,A321,BUSINESS,5D,48b4a92e-6a17-4557-aa35-be7ddfea655d,F,48.0,GT,2024-12-03 09:47:00,CALL_CENTER,EFECTIVO,233.13,EUR,254.11,3,2
61,FR,Ryanair,FR4286,JFK,LIM,2025-07-12 03:38:00,2025-12-07 09:20:00,140.0,DELAYED,212.0,A320,ECONOMY,37B,5d3c820f-97cc-44c0-aee1-a3b2d1337afe,F,44.0,CU,2025-03-18 14:46:00,CALL_CENTER,PUNTOS,59.25,USD,59.25,1,0
62,DL,Delta,DL9244,MAD,LAX,2025-06-16 21:20:00,2025-06-17 02:31:00,302.0,ON_TIME,0.0,B777,ECONOMY,25C,1c6ee1d0-6ec6-4037-9e43-5ab3e5540787,M,52.0,MX,2025-04-15 16:51:00,AEROPUERTO,TRANSFERENCIA,49.87,USD,49.87,1,0
63,DL,Delta,DL0988,LAX,HAV,2025-10-25 16:46:00,2025-10-25 22:15:00,311.0,ON_TIME,0.0,B767,ECONOMY,34D,3752c314-e482-4a44-9f22-90d63276e123,F,41.0,PA,2025-07-13 15:17:00,APP,PUNTOS,175.33,USD,175.33,1,0
64,DL,Delta,DL5672,HAV,GUA,2025-05-13 06:53:00,2025-05-13 14:07:00,418.0,ON_TIME,0.0,CRJ9,BUSINESS,7D,8beb047f-f3e0-411a-b392-9091da752ca2,M,21.0,CU,2025-01-20 13:45:00,AGENCIA,TARJETA,146.98,USD,146.98,1,0
65,FR,Ryanair,FR8541,MAD,LIM,2025-04-22 14:59:00,2025-04-22 15:57:00,53.0,ON_TIME,0.0,A320,ECONOMY,17D,e79af89f-c957-4a74-a7fd-7ef0b8413051,F,35.0,GT,2025-03-20 15:57:00,CALL_CENTER,PAYPAL,68.29,USD,68.29,1,0
66,BA,British Airways,BA4178,CUN,MEX,2025-05-01 05:21:00,2025-01-05 12:10:00,392.0,ON_TIME,0.0,B767,ECONOMY,27F,285edbb9-f25b-48f8-969b-b5122aaecff7,M,13.0,HN,2025-03-20 06:55:00,CALL_CENTER,EFECTIVO,83.43,USD,83.43,1,0
67,BA,British Airways,BA3922,CUN,MAD,2024-02-10 00:42:00,2024-02-10 03:58:00,182.0,ON_TIME,0.0,B757,ECONOMY,43A,4199a260-abe0-4515-9a41-84430cb677ba,F,20.0,CR,2023-11-08 03:07:00,APP,PAYPAL,96.14,USD,96.14,2,1
68,IB,Iberia,IB8006,JFK,PTY,2024-10-06 08:15:00,2024-10-06 13:43:00,307.0,ON_TIME,0.0,B767,PREMIUM_ECONOMY,14C,e460a8f8-1901-40f8-a399-25eb2224dba2,M,22.0,PE,2024-09-29 13:20:00,APP,EFECTIVO,189.16,USD,189.16,1,0
69,AM,Aeromexico,AM0275,CUN,SAL,2024-04-18 17:00:00,2024-04-19 00:17:00,413.0,ON_TIME,0.0,B738,BUSINESS,8F,9add96f8-5554-437e-ba30-b912e0e30c93,F,23.0,SV,2024-03-01 19:57:00,WEB,PAYPAL,160.09,USD,160.09,1,0
70,FR,Ryanair,FR2808,MAD,SAP,2025-09-18 04:03:00,2025-09-18 08:39:00,136.0,DELAYED,144.0,E190,ECONOMY,22E,e429af26-4df7-4d35-8146-0db295699cff,M,44.0,CO,2025-08-13 15:58:00,AGENCIA,PAYPAL,52.94,USD,52.94,1,0
71,AA,American Airlines,AA8857,BOG,LIM,2025-12-14 22:14:00,2025-12-14 23:24:00,66.0,ON_TIME,0.0,A319,PREMIUM_ECONOMY,15D,8259aac7-6fe9-484e-9865-9462cacbd8e7,M,36.0,SV,2025-09-17 13:17:00,AEROPUERTO,PUNTOS,173.75,GTQ,22.24,1,0
72,AA,American Airlines,AA2528,BOG,MEX,2025-08-02 00:19:00,2025-08-02 03:54:00,222.0,ON_TIME,0.0,A321,ECONOMY,18C,ba95572e-4f1c-44e8-a045-806bdd0f2140,F,13.0,CR,2025-11-06 14:18:00,AGENCIA,PAYPAL,86.89,USD,86.89,1,0
73,CM,Copa Airlines,CM4398,MIA,BOG,2025-08-14 08:31:00,2025-08-14 11:30:00,183.0,ON_TIME,0.0,B757,ECONOMY,30E,ecbb1d12-5e58-44c6-a53e-0aba43fe10d4,F,37.0,SV,2025-08-10 06:09:00,AEROPUERTO,TARJETA,107.09,USD,107.09,2,1
74,AA,American Airlines,AA8045,MIA,BOG,2024-07-14 12:01:00,2024-07-14 15:13:00,171.0,ON_TIME,0.0,B739,ECONOMY,19B,0b193459-3585-4271-a442-8833da08baf6,M,17.0,PE,2024-05-31 16:37:00,AGENCIA,PAYPAL,51.31,USD,51.31,2,1
75,LA,Latam,LA8301,MIA,LIM,2024-03-29 11:01:00,2024-03-29 16:36:00,333.0,ON_TIME,0.0,B757,ECONOMY,37E,c1937f46-9dd6-4f99-a9dc-e7dc99848426,F,40.0,PA,2023-12-29 04:33:00,AGENCIA,TARJETA,90.37,MXN,5.24,2,1
76,AM,Aeromexico,AM0403,SJO,PTY,2025-11-26 13:21:00,2025-11-26 18:35:00,319.0,ON_TIME,0.0,A321,ECONOMY,37C,d4ae914e-e823-4744-8621-5bf79b499bf2,F,37.0,GT,2025-09-13 16:38:00,CALL_CENTER,TRANSFERENCIA,91.95,EUR,100.23,1,0
77,DL,Delta,DL3054,MIA,LAX,2024-08-30 06:03:00,2024-08-30 12:25:00,220.0,DELAYED,143.0,A320,ECONOMY,31A,8ab0b094-14de-4fdd-aea2-2e0a8be7b602,F,25.0,PA,2024-07-20 03:44:00,WEB,TARJETA,88.35,USD,88.35,1,0
78,CM,Copa Airlines,CM9670,LIM,SJO,2024-11-29 15:26:00,2024-11-29 19:20:00,244.0,ON_TIME,0.0,A321,ECONOMY,40F,ba7209bc-7045-47bb-89fc-f5fbec7299d2,F,37.0,HN,2024-11-05 04:06:00,APP,PAYPAL,63.43,USD,63.43,1,0
79,AM,Aeromexico,AM8057,SJO,BOG,2024-04-19 19:06:00,2024-04-20 00:26:00,306.0,ON_TIME,0.0,B767,ECONOMY,28D,47b78784-2537-48fd-b1f9-243962857e94,F,58.0,HN,2024-01-20 22:07:00,APP,PUNTOS,96.14,USD,96.14,1,0
80,UA,United,UA0529,LAX,JFK,2024-01-26 09:28:00,2024-01-26 12:37:00,185.0,ON_TIME,0.0,A321,ECONOMY,30E,5ef4ae8e-3388-4334-8617-d9df63b055c1,F,18.0,PA,2023-11-15 17:21:00,AEROPUERTO,TARJETA,102.49,USD,102.49,1,0
81,UA,United,UA4544,CUN,SJO,2025-09-21 16:35:00,2025-09-22 01:19:00,346.0,DELAYED,166.0,A319,ECONOMY,21E,92fec31b-d52d-4eb8-ba44-6fd9af300323,F,21.0,US,2025-06-09 14:59:00,AGENCIA,PUNTOS,107.28,USD,107.28,1,0
82,UA,United,UA6517,SAP,SJO,2025-10-17 05:01:00,2025-10-17 11:47:00,391.0,ON_TIME,0.0,B737,ECONOMY,24F,c06f1ee4-158c-461a-8852-cb659cb221f2,M,49.0,SV,2025-07-27 02:36:00,AEROPUERTO,TRANSFERENCIA,61.12,GTQ,7.82,2,1
83,IB,Iberia,IB2712,MIA,MEX,2025-03-01 02:36:00,2025-03-01 08:14:00,340.0,ON_TIME,0.0,CRJ9,ECONOMY,26F,05fd9397-adc1-4929-9a7e-be90baf410f4,M,46.0,CU,2024-11-19 12:35:00,WEB,EFECTIVO,94.11,USD,94.11,0,0
84,FR,Ryanair,FR1121,SAL,LIM,2025-06-30 13:52:00,2025-06-30 15:15:00,93.0,ON_TIME,0.0,E190,ECONOMY,34B,cbee1ff5-679a-4c9a-a7bf-28f83e323c69,F,44.0,GT,2025-06-27 15:31:00,WEB,PAYPAL,158.2,GTQ,20.25,1,0
85,UA,United,UA8349,PTY,MIA,2025-08-04 04:44:00,2025-08-04 07:02:00,122.0,ON_TIME,0.0,E190,ECONOMY,22A,eae76a1e-9d35-4842-b974-3fa4ea5a4fac,M,30.0,SV,2025-05-19 05:20:00,AGENCIA,PAYPAL,62.56,USD,62.56,0,0
86,UA,United,UA6807,BOG,GUA,2024-10-26 17:25:00,2024-10-26 19:12:00,102.0,ON_TIME,0.0,E190,ECONOMY,32A,053c744d-1c11-4335-94e6-a3d37b90c586,F,22.0,MX,2024-09-05 22:59:00,AGENCIA,PUNTOS,61.22,GTQ,7.84,2,1
87,IB,Iberia,IB0186,SAL,BCN,2024-08-28 17:04:00,,,CANCELLED,,B777,BUSINESS,,5506cbe2-6078-4457-8cc5-093d677eeb84,F,32.0,PE,2024-12-06 20:16:00,WEB,TRANSFERENCIA,201.92,GTQ,25.85,2,1
